feature,alpha,n_accounts,median,ci_low,ci_high,prop_positive,prop_positive_ci_low,prop_positive_ci_high
period_strength,0.25,1291,-0.001608438196409212,-0.0034328250337842814,0.0,0.43687064291247096,0.40898528272656853,0.46475600309837334
period_strength,0.5,1291,0.009058914184379496,0.00721881199634099,0.010781531725631899,0.6189000774593338,0.5917893106119287,0.6452362509682417
period_strength,0.75,1291,0.027214710274206143,0.023480059966622502,0.03032563290277861,0.7451587916343919,0.7219209914794733,0.7691711851278079
iat_cv,0.25,1291,-0.008118755266179533,-0.00898543914785881,-0.007229812392296165,0.2858249419054996,0.26103795507358635,0.31138652207591017
iat_cv,0.5,1291,-0.011633980489552975,-0.01381154700506868,-0.00982757000401029,0.34624322230828813,0.3214562354763749,0.37257939581719596
iat_cv,0.75,1291,-0.013417206743275178,-0.016395484400197845,-0.010948310924040338,0.3826491092176607,0.3570875290472502,0.40898528272656853
log_volume,0.25,1291,0.09373778702903239,0.09138295273702698,0.09595924917434613,0.919442292796282,0.9047056545313711,0.9341595662277304
log_volume,0.5,1291,0.17006103593902844,0.16662156324965965,0.17413042839395984,0.9271882261812548,0.9124709527498064,0.941130906274206
log_volume,0.75,1291,0.23102015077396593,0.22348332735855808,0.23680870367592627,0.9271882261812548,0.912451587916344,0.941130906274206
log_fanout,0.25,1291,0.04923009540567569,0.047266371484700406,0.05153388917783306,0.9202168861347793,0.9054996127033308,0.9341595662277304
log_fanout,0.5,1291,0.06576217511130573,0.06341207980208226,0.06970965981783764,0.9116963594113091,0.895429899302866,0.9264329976762199
log_fanout,0.75,1291,0.07834845864414,0.07479199635925717,0.0807526976997738,0.8814872192099148,0.8628969790859798,0.8977730441518201
quiet_frac,0.25,1291,-0.006469193950456376,-0.012627144489689712,-0.0029705937108833957,0.38187451587916343,0.3555383423702556,0.40898528272656853
quiet_frac,0.5,1291,-0.0070404223478998775,-0.013621872824235836,-0.002516015891752055,0.4113090627420604,0.3841982958946553,0.43919442292796285
quiet_frac,0.75,1291,-0.006222039485173703,-0.01675587813268101,-0.00017681728813960794,0.4360960495739737,0.40974051123160343,0.4624322230828815
