Case,Feature,Contribution
1,period_strength,-0.7565804949084339
1,iat_cv,-0.03533698812701158
1,log_volume,-0.4300942760013031
1,log_fanout,0.07813977376289641
1,quiet_frac,-0.8422839781446925
1,Total dO-dM,-1.9861559634185448
7,period_strength,0.27820663108066035
7,iat_cv,-0.5854666632583739
7,log_volume,0.15002154872759713
7,log_fanout,0.017913998246106903
7,quiet_frac,0.044798509635725806
7,Total dO-dM,-0.09452597556828479
12,period_strength,-0.3712726286399803
12,iat_cv,-0.04280244620292446
12,log_volume,-0.36301735987512346
12,log_fanout,0.029749019688886557
12,quiet_frac,1.0676861397139286
12,Total dO-dM,0.320342724684787
