Case,u,pair,direction,signed_gap,rank_empirical,rank_kmeans,rank_mixture,period_strength,iat_cv,log_volume,log_fanout,quiet_frac,period_strength_pct,iat_cv_pct,log_volume_pct,log_fanout_pct,quiet_frac_pct
1,U5247@DOM1,empirical_vs_kmeans,Empirical rank > K-means,0.2649746192893401,0.3710659898477157,0.10609137055837563,0.12106598984771573,22.490014759564655,7.211551134921425,2.7611758131557314,1.2041199826559248,0.019064124783362217,0.3757428417071853,0.3185597339473011,0.27462266564338705,0.9234139166027117,0.16922486569455103
2,U5846@DOM1,empirical_vs_kmeans,Empirical rank > K-means,0.2626903553299492,0.3469543147208122,0.08426395939086294,0.07969543147208122,24.780548567265278,7.344702476128333,2.509202522331103,1.2041199826559248,0.0,0.40383576445164776,0.31472243540547457,0.1846699923254029,0.9234139166027117,0.07914428242517269
3,U7086@DOM1,empirical_vs_kmeans,Empirical rank > K-means,0.2611675126903553,0.35101522842639593,0.08984771573604061,0.20228426395939086,19.086623224940475,9.555533211354659,2.8567288903828825,1.2041199826559248,0.06397774687065369,0.32678282009724474,0.2485929905346636,0.3018035303146585,0.9234139166027117,0.20312100281401893
4,ANONYMOUS LOGON@C13508,empirical_vs_kmeans,K-means > Empirical rank,-0.4035532994923858,0.23477157360406092,0.6383248730964467,0.0532994923857868,8.604901103588947,7.925902227747868,1.968482948553935,0.3010299956639812,0.8924731182795699,0.1393841166936791,0.2987336914811972,0.07940010232796112,0.09679585571757483,0.9984011256075722
5,ANONYMOUS LOGON@C16073,empirical_vs_kmeans,K-means > Empirical rank,-0.3964467005076142,0.25532994923857866,0.6517766497461929,0.0012690355329949238,8.872409055876371,6.694947686158757,2.0791812460476247,0.3010299956639812,1.0,0.14485413290113452,0.33000767459708363,0.08979278587874137,0.09679585571757483,0.9995203376822717
6,ANONYMOUS LOGON@C5902,empirical_vs_kmeans,K-means > Empirical rank,-0.3345177664974619,0.24974619289340103,0.584263959390863,0.14441624365482233,7.94200853193622,6.247803337943456,2.0681858617461617,0.3010299956639812,0.6410256410256411,0.12554024851431658,0.3408160654898951,0.08876950626758762,0.09679585571757483,0.995906881555385
7,C13356$@DOM1,mixture_vs_kmeans,Custom mixture > K-means,0.365228426395939,0.7281725888324873,0.6164974619289341,0.9817258883248731,300.0,68.55775171768477,3.966798546383361,1.1760912590556813,0.28443436960276336,0.9065032414910859,0.00012790995139421848,0.9661358403683806,0.817632386799693,0.5812228191353287
8,C2070$@DOM1,mixture_vs_kmeans,Custom mixture > K-means,0.3728426395939086,0.6804568527918782,0.6200507614213198,0.9928934010152284,300.0,69.44671284607529,4.159055603513488,0.6020599913279624,0.33703113083269776,0.9065032414910859,0.00012790995139421848,0.9814530570478384,0.1991238168329496,0.9356612944487082
9,C2175$@DOM1,mixture_vs_kmeans,Custom mixture > K-means,0.3741116751269036,0.6560913705583756,0.6177664974619289,0.9918781725888325,300.0,69.21899669739078,4.096492890054361,0.6020599913279624,0.3227898782831518,0.9065032414910859,0.00012790995139421848,0.9787029930928626,0.1991238168329496,0.8528396009209517
10,ANONYMOUS LOGON@C16073,mixture_vs_kmeans,K-means > Custom mixture,-0.6505076142131979,0.25532994923857866,0.6517766497461929,0.0012690355329949238,8.872409055876371,6.694947686158757,2.0791812460476247,0.3010299956639812,1.0,0.14485413290113452,0.33000767459708363,0.08979278587874137,0.09679585571757483,0.9995203376822717
11,U7573@DOM1,mixture_vs_kmeans,K-means > Custom mixture,-0.600253807106599,0.6081218274111675,0.61751269035533,0.017258883248730966,300.0,22.13166800224797,3.5358002908248976,1.2041199826559248,0.0,0.9065032414910859,0.01918649270913277,0.6609426963417754,0.9234139166027117,0.07914428242517269
12,U8218@DOM1,mixture_vs_kmeans,K-means > Custom mixture,-0.5956852791878173,0.499746192893401,0.6543147208121828,0.05862944162436548,7.567008881033547,8.971200618274773,2.27415784926368,1.1760912590556813,0.8829787234042553,0.1177066450567261,0.2670120235354311,0.11310437452033768,0.817632386799693,0.9983371706318752
